config_id,strategy_name,seed,station,n_train_total,n_test,r2,rmse,ubrmse,bias,mae,pearson
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,42,Quinault,12448,1044,0.5606848053650594,0.046001203518200355,0.04587528443521244,0.003401323729262498,0.036895299216168596,0.8746881505768684
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,42,SourdoughGulch_WA_985,12417,906,0.32044599410877195,0.06608393229335663,0.054924491053458716,-0.036747603865714525,0.05358108277516912,0.7718647927581843
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,42,Spokane,12815,897,0.5503240478530402,0.07701897082967264,0.054158829134656146,0.05476078062286079,0.06518030819632405,0.8951290551760201
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7,BeaverPass_WA_990,12423,626,0.7647745419639327,0.04418965210998679,0.03999309737117031,0.018795678127211883,0.03442477750673461,0.9042576884616225
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7,CayusePass_WA,12566,1081,0.6871025464676705,0.0668068493696191,0.06574918180610623,0.011840617151253757,0.053696533041734815,0.843071376466834
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7,Darrington,12560,999,0.6996164404651593,0.05120705814802322,0.04160302175299506,0.02985550845647837,0.04159901472600969,0.9047218033875417
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7,Paradise_WA,12419,1067,0.7714416009014077,0.04705047194088612,0.039030954057094,0.026274160980954836,0.03678663400365799,0.918786172379157
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7,Quinault,12448,1044,0.5720079944661474,0.045404501341528264,0.04536479643902453,0.0018984167399991058,0.03610390870153219,0.8724479470670428
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7,SourdoughGulch_WA_985,12417,906,0.31190584406390975,0.06649788365554445,0.05519745149650751,-0.03708382233477323,0.05385275935567504,0.7691641721369163
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7,Spokane,12815,897,0.5569032981978022,0.07645345885905619,0.05401370921422334,0.054107768281779295,0.06475194210059933,0.8958595508713969
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,13,BeaverPass_WA_990,12423,626,0.7587253158714995,0.04475425158820963,0.04009110987032715,0.019890850775824566,0.03522456099688054,0.9028258614703017
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,13,CayusePass_WA,12566,1081,0.6870062948839839,0.06681712393489088,0.06545665207544439,0.013414721391247334,0.05337848572539136,0.8453151970697842
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,13,Darrington,12560,999,0.7037705700762239,0.05085174353339478,0.04328990361625973,0.026681155621170165,0.04132741902820818,0.9006329383864857
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,13,Paradise_WA,12419,1067,0.7649538856857329,0.04771357186100376,0.03925423021427076,0.027123612407277207,0.03719678782215718,0.917486444744688
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,13,Quinault,12448,1044,0.572084259603278,0.04540045578138828,0.04538154643391348,0.0013102016731582837,0.036052375303888225,0.8741304081332921
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,13,SourdoughGulch_WA_985,12417,906,0.3128229560587551,0.0664535537184694,0.05510119108999053,-0.03714745674037249,0.05383745206053683,0.7707083862665927
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,13,Spokane,12815,897,0.5582262990181107,0.07633923593280562,0.05379604039358973,0.0541633176677336,0.06461241716671416,0.8979445980454853
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,21,BeaverPass_WA_990,12423,626,0.7535547550069978,0.04523125548684737,0.0413920719515381,0.01823630588894454,0.03510984294130779,0.8972429045853906
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,21,CayusePass_WA,12566,1081,0.6863445161439222,0.06688772408254022,0.0658218330771307,0.011893440347871329,0.053575953547707535,0.8432530614662593
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,21,Darrington,12560,999,0.6750349074818239,0.05326109643059125,0.04260272581737992,0.03196485798369657,0.0434557402992511,0.899300715066402
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,21,Paradise_WA,12419,1067,0.7756466869111537,0.04661563825517394,0.038623980724571454,0.02609992036242963,0.03637997813122006,0.920690840301829
